Producto,Característica_1,Característica_2,Característica_3,Característica_4,Característica_5,Característica_6,Característica_7,Característica_8,Característica_9,Característica_10
Nfortec ATRIA X Kit de Refrigeración Líquida 360mm Blanco,"RENDIMIENTO ÓPTIMO: El diseño cuidado y perfilado de ATRIA mantiene su esencia con unas líneas marcadas en la evolución de ATRIA X, y aportando nuevas características como su efecto espejo infinito rotable, para reorientar la bomba según la configuración de tu setup. Personaliza ATRIA X a tu gusto con los 2 modelos de radiador disponibles (240/360mm) variación de color en blanco y negro y conexión de 3 pines A-RGB.",EL SIGUIENTE PASO. Hemos diseñado un nuevo patrón de aletas en el radiador con forma geométricas que mejora la disipación del calor en la superficie del radiador ya que admite más aletas en la misma superficie,LA BOMBA. Dentro del espejo infinito encontramos un motor DC sin escobillas de 3 fases con turbina completamente encapsulada que mueve hasta 156 Litros/hora y un diseño del resto de componentes que reducen vibraciones y el ruido. Además la superficie de contacto de 151cm2 de cobre puro asegura el máximo contacto incluso con las nuevas generaciones de procesadores Intel y AMD para maximizar la transferencia de calor de manera uniforme.,"ACOPLAMIENTO ESPACIAL. ATRIA X incorpora una nueva estructura de instalación “Tool free” con una estructura base fabricada en acero y manganeso que permite un contacto firme sin tensión, además de una instalación sencilla, eficaz y rápida.  Preparada y compatible con la mayoría de zócalos Intel y AMD y preparada para las nuevas generaciones que están por venir.",VENTILADORES ARGB DE ALTO RENDIMIENTO. Los nuevos ventiladores de ATRIA X ofrecen un flujo de aire y presión con un equilibrio estudiado para maximizar el funcionamiento del sistema y para disfrutar de un rendimiento de refrigeración de la CPU extremo.,Compatible con Intel LGA 17XX/12XX/115X/20xx/1366,Compatible con AMD: AM5/AM4/AM3/AM3+/AM2+/TR4/TRX4/FM2+/FM2/FM1,"Radiador

Tamaño radiador: 392x121x27mm
Longitud tubos: 395+-5mm
Ventiladores incluidos: x2
Peso: 1,35Kg
Capacidad de disipación: Hasta 240W TD",Tamaño radiador: 392x121x27mm,Longitud tubos: 395+-5mm
Kingston FURY Beast DDR4 3200 MHz 128GB 4x32GB CL16,Diseño delgado del disipador térmico,Actualización rentable de DDR4 de alto rendimiento,Compatible con Intel XMP,Compatible con AMD Ryzen,Velocidades de hasta 3733MHz y capacidades de hasta 128GB,Funcionalidad Plug & Play a 2666MHz,Capacidad 128 Go,Frecuencia(s) memoria DDR4 3200 MHz,Norma JEDEC     PC4-25600,Especificación memoria Unbuffered
Asus TUF Gaming Capture Box-CU4K30 Capturadora de Vídeo USB 3.2 Tipo C,"Ofrece soporte de video passthrough de 4K hasta 60 Hz, 2K hasta 144 Hz y Full HD hasta 240 Hz.","Ofrece transmisión de video en 4K hasta 30 fps, 2K hasta 60 fps y Full HD hasta 120 fps.",Dos conectores de 3.5 mm permiten la conexión con un controlador y audífonos para el modo fiesta de consolas.,Certificado OBS Studio™ la compatibilidad garantiza un uso óptimo en una amplia variedad de plataformas de transmisión.,El diseño compacto del tamaño de la mitad de la palma de la mano te ayuda a mantener un espacio de trabajo ordenado.,Admite video USB para una experiencia plug-and-play.,La iluminación RGB en el exterior indica el estado de funcionamiento del dispositivo.,Detalles técnicos,Interno: No,Interfaz de host: USB 3.2 Gen 1 (3.1 Gen 1)
Creative Sound Blaster Play! 4 Tarjeta de Sonido USB-C,"Haga que su audio vaya más allá. Además de todas las características del software, Sound Blaster PLAY! 4 también viene con un botón de ecualización con 2 modos de sonido -Dinámico y Refuerzo de Bajos - que funciona muy bien con cualquier tipo de contenido -¡música, películas e incluso juegos!","Realmente fácil de llevar a todas partes. Extremadamente ligero (8.3g) y súperportátil, puede llevar el Sound Blaster PLAY! 4 encima a donde quiera que vaya, ya sea compartiendo escritorio o moviéndose de un lugar a otro.","Mejor que el audio predeterminado. Después de todo, es lo que hacemos mejor, la calidad de audio. Gracias al audio de alta resolución con un DAC de 192 kHz / 24 bits y a la claridad del audio a 110 dB, nunca más volverá al audio predeterminado de su ordenador.",Audio,Interno: No,Calidad de audio: 24 bit,"Línea de salida, relación señal/ruido: 110 dB",Conversión de digital a analógico: 16/24-bit/192kHz,Impedancia recomendada para los auriculares: 16 - 150 ?,Interno: No
Corsair HXi Series HX1500i 1500W 80 Plus Platinum Modular,"Cableado totalmente modular: Conecte solo los cables que su sistema necesite, a fin de facilitar un montaje despejado y ordenado.","Certificación Intel ATX 3.0: Cumple con el estándar de alimentación ATX 3.0, es compatible con la plataforma PCIe Gen 5 y resiste los picos de potenciatransitorios.",Ventilador de 140 mm con rodamiento dinámico fluido (FDB): Ofrece un rendimiento del ventilador extremadamente silencioso y duradero,"El potente software CORSAIR iCUE: Cree curvas de ventilador personalizadas, monitorice los ajustes de potencia y alterne entre la protección de sobrecorriente(OCP) de uno a varios rieles sobre la marcha.",Modo de ventilador Zero RPM: A cargas medias y bajas el ventilador de refrigeración se desactiva completamente para que disfrute de un funcionamientoprácticamente silencioso.,"Certificación 80 PLUS Platinum: Hasta un 92 % de eficiencia para lograr un consumo energético excepcionalmente bajo, menos ruido y temperaturas más bajas.",Condensadores electrolíticos 100 % japoneses a 105 °C: Los componentes internos de primera calidad garantizan una entrega de potencia sólida y fiabilidad alargo plazo.,Compatibilidad con Modern Standby: Tiempos de activación extremadamente rápidos y mejor eficiencia en cargas bajas.,"Plataforma totalmente digital: La topología LLC resonante y la conversión CC a CC ofrecen una potencia limpia y constante, a la vez que se minimiza el zumbidode la bobina y el ruido para un funcionamiento silencioso",Garantía de diez años: Una garantía de funcionamiento fiable que durará varios montajes de sistemas
Samsung 980 Pro 2TB Disco SSD 7000MB/S Disipador NVMe PCIe 4.0 M.2 Gen4,"Velocidad máxima: Alimentado por el controlador Elpis personalizado de Samsung para SSD PCIe 4.0, el 980 PRO está optimizado para la velocidad. Ofrece velocidades de lectura de hasta 7.000 MB/s, lo que le hace 2 veces más rápido que los SSD PCIe 3.0 y 12,7 veces más rápido que los SSD SATA. El 980 PRO alcanza velocidades máximas en PCIe 4.0 y puede variar en otros entornos.","Control térmico inteligente: El controlador térmico de Samsung gestiona de forma fiable los niveles de calor del chip NAND. La etiqueta del disipador 980 PRO permite el acceso al control térmico. El disipador 980 PRO utiliza tecnología probada SSD de centro de datos para disipar el calor y garantizar, así, un juego continuo de alto rendimiento en la mayoría de consolas y sistemas de PC.","Una combinación ganadora: Tanto los jugadores como los amantes de la tecnología y los diseñadores se beneficia del control térmico, el ancho de banda de alto rendimiento y de un rendimiento continuado para las aplicaciones más exigentes. Los juegos se cargan rápidamente para jugar más y esperar menos. La gestión inteligente del calor reduce las molestias ocasionadas por el ruido y el trabajo del ventilador de refrigeración, para un juego ininterrumpido y totalmente inmersiivo.","SSD M.2 eficiente: El 980 PRO con disipador minimiza los límites de espacio con un cuerp degado de 8,6 mm, compatible con PlayStation®5, así como con ordenadores de sobremesa y portátiles que cumplen las especificaciones PCI-SIG® D8. El factor de forma M.2 de la 980. PRO, compacto y fácil de conectar, maximiza la flexibilidad del diseño de la placa, creado sistemas de alto rendimiento más eficientes.",Características,Versión NVMe: 1.3c,Algoritmos de seguridad soportados: 256-bit AES,Factor de forma de disco SSD: M.2,"SDD, capacidad: 2000 GB",Interfaz: PCI Express 4.0
Gigabyte B550 AORUS ELITE V2,Admite AMD Ryzen ™ 5000 Series / 3rd Gen Ryzen ™ y 3rd Gen Ryzen ™ con procesadores gráficos Radeon ™,"DDR4 sin búfer ECC / no ECC de doble canal, 4 DIMM",Diseño digital de potencia doble de 12 + 2 fases con DrMOS de 50 A,Diseño térmico avanzado con disipadores de calor de superficie agrandados,Ranura Ultra Durable ™ PCIe 4.0 x16,Dual Ultrarrápido NVMe PCIe 4.0 / 3.0 x4 M.2 con un protector térmico,Audio AMP-UP con condensadores ALC1200 y WIMA,"LAN de 2,5 GbE ultrarrápida con gestión de ancho de banda",USB 3.2 Gen1 Type-C ™ frontal y DisplayPort y HDMI para múltiples pantallas,RGB FUSION 2.0 admite tiras de LED direccionables y LED RGB
Rode AI-Micro Interfaz de Audio Compacta de Doble Canal 24 Bits 48 kHz Negro,Interfaz de audio ultracompacta de doble canal para computadoras y dispositivos móviles.,"Compatible con prácticamente cualquier micrófono con una salida de 3,5 mm, incluidos RØDE VideoMics, lavaliers, sistemas inalámbricos y micrófonos estéreo que no requieren alimentación enchufable.",Entradas con detección automática para conectar micrófonos TRS o TRRS.,Salida de auriculares de alta calidad para monitoreo y reproducción de audio con latencia cero.,"Se conecta sin problemas a computadoras, teléfonos inteligentes y tabletas a través de la salida USB universal (cables USB-A, USB-C y Lightning incluidos).","Compatible con el paquete de aplicaciones RØDE para funciones y características ampliadas, configuración sobre la marcha y grabación con calidad de transmisión en cualquier dispositivo.",Características,Entrada de audio: 2 x 3.5mm auto-sensing TRS/TRRS,Salida de audio: 3.5mm TRS headphone output,Color del producto: Negro
Tempest Cooler 3Pipes 120mm Ventilador CPU Basic,Compatible con Intel y AMD,3 tubos disipadores,Modo Overclocking,Fácil de instalar,"Compatibilidad asegurada Gracias a sus aletas y a su construcción en cobre y aluminio, garantiza una disipación de calor estable, que permite soportar a tu pc toda las horas de juego que necesites y no importa si tienes Intel o AMD, es compatible hasta AM4 e intel LGA1700 con lo cual podrás ponerlo en tu placa sin importar el procesador. Tan solo siéntate y ten la total tranquilidad de que tu componente más importante se encuentra totalmente protegido.",Fácil instalación Otro factor a destacar es su fácil instalación. No tendrás la necesidad de llamar a una persona experta para que la realice ¡Tan solo colócalo tú mismo! Sus tornillos te garantizan una perfecta fijación junto con el procesador y una vez colocado sólo tendrás que conectar el cable que tu equipo te requiera y lo tendrás totalmente listo.,Modo Overclocking ¿Te preocupa poder llevar este disipador al máximo nivel? Ahora esto es posible ya que está preparado para cuando necesites aumentar el rendimiento de tu procesador con el objetivo de realizar un esfuerzo extra en tu equipo. Esto te da tranquilidad de que puedas tener a tu procesador protegido pese a que haya un aumento extra de la temperatura.,"Añade y accede a lo quieras Gracias a sus dimensiones, el Tempest Basic Cooler de 3 tubos te deja todo el espacio que necesitas para que puedas acceder a las ranuras de la RAM en cualquier placa base. Todo esto hace que tengas total acceso a los módulos de memoria y garantiza una compatibilidad del 100% con diferentes elementos adicionales que quieras colocar en tu equipo.",Ventilador: Negro con bearings hidráulicos,"Incluye adaptadores para compatibilidad con:

Intel: Socket LGA 775/1155/1156/1366/2011/1200/1700 (CPU Core i3 / i5 / i7/i9)
AMD: AM4 / FM2 / FM1 / AM3 + / AM3 / AM2 + / AM2 / AM5"
Samsung 990 Pro 1TB Disco SSD 7450MB/S NVMe PCIe 4.0 M.2 Gen4,"Potente SSD Interno PCIe 4.0 NVMeTM para tareas exigentes como el procesamiento de vídeo en 4K y gráficos en 3D, así como para juegos de alta exigencia.",Velocidad de vértigo: velocidades de lectura/escritura de hasta 7450/6900 MB/s.,Alta fiabilidad gracias a la tecnología Heat Spreader y Dynamic Thermal Guard del SSD para proteger frente al sobrecalentamiento y hasta 1.200 TBW,El software gratuito Samsung Magician optimiza el rendimiento y siempre mantiene la unidad al día con actualizaciones.,Características generales,"Aplicación Client PCs, Game Consoles","Capacidad 1,000GB (1GB=1 Billion byte by IDEMA) * Actual usable capacity may be less (due to formatting, partitioning, operating system, applications or otherwise)",Formato M.2 (2280),"Interfaz PCIe Gen 4.0 x4, NVMe 2.0",Dimensiones 80 x 22 x 2.3 mm
