nombre,precio,precio_tachado,descuento
Forgeon Azoth 240 ARGB Kit de Refrigeración Líquida 240mm Blanco,75.99,149.99,49.34
Corsair iCUE H150i ELITE LCD XT Kit de Refrigeración Líquida 360mm Blanco,188.0,349.9,46.27
Forgeon Overmind Ventiladores Suplementarios Interconectables Pack 3x 120mm ARGB PWM Blancos,23.99,39.99,40.01
Forgeon Overmind Ventiladores Suplementarios Interconectables Pack 3x 120mm ARGB PWM Negros,24.99,39.99,37.51
Corsair EX100U Disco Duro Externo Portátil SSD 1TB USB-C,114.24,159.0,28.15
Corsair iCUE H100i RGB ELITE Kit de Refrigeración Líquida 240mm Blanca,119.99,164.9,27.23
Corsair RM1200x SHIFT White Series 1200W 80 Plus Gold Modular,258.99,353.01,26.63
Tempest Fan 3x Pack 120mm con Controladora ARGB White PWM,19.29,25.99,25.78
Kingston XS1000 Disco SSD Externo 1TB USB 3.2 Negro,76.99,99.0,22.23
WD BLACK C50 Tarjeta de Expansión 2TB para XBOX,219.19,274.98,20.29
