Producto,Característica_1,Característica_2,Característica_3,Característica_4,Característica_5,Característica_6,Característica_7,Característica_8,Característica_9,Característica_10,Característica_11,Característica_12,Característica_13,Característica_14,Característica_15,Característica_16
PcCom Ready Intel Core i5 -12400F / 32GB / SSD 1TB / RTX 4060 / Windows 11 Home,Caja: Tempest Mirage RGB Mesh Torre ATX Negra,Fuente de alimentación: Forgeon SI Series PSU 650W 80+ Bronze,Procesador: Intel Core i5-12400F 2.5 GHz,Placa base: Gigabyte B760M DS3H DDR4,Disco duro: WD Blue SN580 1TB SSD M.2 PCIe 4.0 NVMe,Memoria RAM: Kingston FURY Beast DDR4 3200 MHz 32GB 2x16GB CL16,"Tarjeta gráfica: GeForce RTX 4060 WINDFORCE 8GB GDDR6 DLSS3

2xHDMI / 2xDisplayPorts",2xHDMI / 2xDisplayPorts,Tarjeta de sonido: Integrada,Refrigeración CPU: Tempest Cooler 4Pipes 120mm RGB Ventilador CPU Negro,Tarjeta de Red: ASUS PCE-AX1800 Adaptador PCIe AX1800 WiFi 6 + Bluetooth 5.2,"Conexiones delanteras: 

Entrada de audio: Si
Salida de audio: Si
Cantidad de puertos USB 2.0: 2
Cantidad de puertos tipo A USB 3.2 Gen 1 (3.1 Gen 1): 2",Entrada de audio: Si,Salida de audio: Si,Cantidad de puertos USB 2.0: 2,Cantidad de puertos tipo A USB 3.2 Gen 1 (3.1 Gen 1): 2
"Apple MacBook Pro Apple M4 Pro 14 Núcleos/24GB/1TB SSD/GPU 20 Núcleos/14"" Negro Espacial","Lo dan todo. El MacBook Pro incorpora la gama más avanzada de chips que se ha creado nunca para un portátil profesional. El colosal rendi­miento monohilo y multihilo de la CPU, la memoria unificada ultrarrápida y los aceleradores de aprendizaje automático mejorados de los chips M4 llevan la velocidad y las prestaciones al filo de lo imposible. Además, su potente Neural Engine está deseando lucirse en tareas de IA como el escalado de imágenes o la creación de subtítulos.

El MacBook Pro con M4 es hasta x3,4 más rápido que el modelo con M1.
El MacBook Pro con M4 Pro es hasta x3 más rápido que el modelo con M1 Pro.
El MacBook Pro con M4 Max es hasta x3,5 más rápido que el modelo con M1 Max.","El MacBook Pro con M4 es hasta x3,4 más rápido que el modelo con M1.",El MacBook Pro con M4 Pro es hasta x3 más rápido que el modelo con M1 Pro.,"El MacBook Pro con M4 Max es hasta x3,5 más rápido que el modelo con M1 Max.","Gráficos impresionantes, juega para ganar. Cuando veas la fluidez con la que se ejecutan los procesos de gran carga gráfica, no querrás mirar atrás. La GPU de los chips M4 incluye un motor de trazado de rayos por aceleración de hardware de segunda generación que renderiza imágenes más rápido, así que los juegos se viven con un realismo asombroso. Y el almacenamiento dinámico en caché optimiza la memoria del chip para aumentar prodigiosamente el uso promedio de la GPU. ¿El resultado? Un subidón de rendi­miento para las apps y los juegos más exigentes.","Trabajar contigo es genial. Apple Intelligence es un sistema de inteligencia personal que te ayuda a redactar, expresarte y hacer tus tareas diarias sin esfuerzo. Gracias a su revolucionario sistema de privacidad, nadie más podrá acceder a tus datos. Ni siquiera Apple

La prestación Herramientas de Escritura puede corregir tus textos, redactar versiones hasta dar con el tono perfecto o hacer un resumen de los párrafos seleccionados con un simple toque.
Comunícate con Siri de la forma más natural del mundo gracias a un nuevo diseño, su mayor comprensión del lenguaje y la posibilidad de escribirle en cualquier momento.
Como los correos más urgentes aparecen en la parte superior de la bandeja de entrada, no se te olvidará asistir a esa reunión o sacar la tarjeta de embarque para el vuelo de mañana. Por si fuera poco, Mail te puede resumir un mensaje al instante.","La prestación Herramientas de Escritura puede corregir tus textos, redactar versiones hasta dar con el tono perfecto o hacer un resumen de los párrafos seleccionados con un simple toque.","Comunícate con Siri de la forma más natural del mundo gracias a un nuevo diseño, su mayor comprensión del lenguaje y la posibilidad de escribirle en cualquier momento.","Como los correos más urgentes aparecen en la parte superior de la bandeja de entrada, no se te olvidará asistir a esa reunión o sacar la tarjeta de embarque para el vuelo de mañana. Por si fuera poco, Mail te puede resumir un mensaje al instante.","Un gran poder conlleva una gran privacidad. Apple Intelligence se ha diseñado para proteger tu privacidad en todo momento y está completamente integrado en el Mac mediante el procesamiento en el dispositivo. En otras palabras, conoce tu información personal, pero jamás la recopila. Y con la revolucionaria Computación Privada en la Nube, Apple Intelligence puede valerse de modelos de mayor tamaño basados en servidores, y que funcionan con chips de Apple, para procesar peticiones más complejas con total privacidad.","Abierto hasta el amanecer. Y un rato más. El MacBook Pro ofrece la mayor autonomía que ha tenido nunca un Mac: hasta 24 horas. Y es compatible con la carga rápida, de manera que puede cargarse un 50 % en solo 30 minutos.50 Todos los modelos rinden igual estén o no conectados a la corriente, así que tú deja de preocuparte por los cables y céntrate de lleno en tu universo.","Listísimo para la acción. Hay miles de apps optimizadas para aprovechar el potencial de macOS, desde las que usas a diario y en el trabajo hasta las más profesionales y tus juegos favoritos. Ni te imaginas hasta dónde pueden llegar con los chips M4.

Prográmate para volar. Ejecuta máquinas virtuales, escribe código en todo el stack y ahorra tu precioso tiempo con el autocompletado predictivo de Xcode. Xcode, Unity Editor, Create ML, TensorFlow, PyTorch, NAG Fortran Compiler, Docker, IntelliJ IDEA y otras.
Lo pesado ya no te pesa. Edita y retoca esas enormes imágenes cuando tú quieras. No hace falta que esperes a llegar al estudio. Adobe Lightroom, Adobe Photoshop, Affinity Photo 2, Capture One, Pixelmator Pro, Topaz Photo AI, Nik Collection 7 y otras.
El Mac, un descubrimiento para tu laboratorio. Haz simulaciones complejas, secuencia ADN o analiza grandes conjuntos de datos en cualquier entorno de STEM.
Recibe llamadas y mensajes. Llegan también a tu portátil, de modo que puedes responder sin cambiar de dispositivo.
Portapapeles Universal. Pega texto, imágenes, fotos o vídeos de tu iPhone al Mac y viceversa.
AirDrop. Envía fotos, archivos grandes y otros contenidos de forma inalámbrica entre tu iPhone, Mac y otros dispositivos Apple cercanos. Sin conexión wifi.","Prográmate para volar. Ejecuta máquinas virtuales, escribe código en todo el stack y ahorra tu precioso tiempo con el autocompletado predictivo de Xcode. Xcode, Unity Editor, Create ML, TensorFlow, PyTorch, NAG Fortran Compiler, Docker, IntelliJ IDEA y otras.","Lo pesado ya no te pesa. Edita y retoca esas enormes imágenes cuando tú quieras. No hace falta que esperes a llegar al estudio. Adobe Lightroom, Adobe Photoshop, Affinity Photo 2, Capture One, Pixelmator Pro, Topaz Photo AI, Nik Collection 7 y otras.","El Mac, un descubrimiento para tu laboratorio. Haz simulaciones complejas, secuencia ADN o analiza grandes conjuntos de datos en cualquier entorno de STEM.","Recibe llamadas y mensajes. Llegan también a tu portátil, de modo que puedes responder sin cambiar de dispositivo."
"Apple MacBook Air Apple M3/16GB/512GB SSD/GPU 10 Núcleos/13.6"" Medianoche",Potencia M3. Afilada al máximo. El MacBook Air con chip M3 tiene un diseño compacto para trabajar y divertirte a toda mecha en todas partes.,"Diseño compacto. Como es superligero y mide poco más de un centímetro de grosor, puedes llevarte el MacBook Air a cualquier sitio.",Haz más. Más rápido. La potencia de la CPU de 8 núcleos y de la GPU de hasta 10 núcleos del chip M3 de Apple hace que todo vaya como la seda.,"Hasta 18 horas de autonomía1. Con autonomía para el día entero, puedes dejar el adaptador en casa con total tranquilidad.","Una pantalla brillante. La pantalla Liquid Retina de 13,6 pulgadas2 admite 1.000 millones de colores.","Entra por los ojos. Y los oídos. La cámara HD a 1080p, los tres micrófonos y los cuatro altavoces con audio espacial ofrecen una calidad de imagen y sonido alucinante.","Apps que vuelan con el chip de Apple. Todas tus apps favoritas van como un rayo en macOS, desde Microsoft 365 hasta Adobe Creative Cloud.3","Conectividad total. El MacBook Air tiene dos puertos Thunderbolt, toma para auriculares, Wi-Fi 6E,4 Bluetooth 5.3 y puerto de carga MagSafe. Y puedes conectar hasta dos monitores externos con la tapa del portátil cerrada.","Si te gusta el iPhone, te encantará el Mac. El MacBook Air se entiende de maravilla con todos tus dispositivos Apple.5 Ponte a escribir un email en el iPhone y acábalo en el Mac. Envía mensajes de texto desde el Mac. Y mucho más.Avisos legales:1. La duración de la batería varía en función de la configuración y el uso. Más información en apple.com/es/batteries.2. La pantalla del MacBook Air de 13 pulgadas tiene las esquinas redondeadas en la parte superior. Si se mide como un rectángulo estándar en diagonal, la pantalla tiene 13,6 pulgadas. La superficie real de visión es inferior.3. Las apps están disponibles en el App Store.4. La conexión Wi-Fi 6E está disponible en los países y zonas geográficas donde existe esta tecnología.5. Requiere una cuenta de iCloud y conexión a internet","Chip

Chip M3 de Apple:

CPU de 8 núcleos (4 de rendimiento y 4 de eficiencia)
GPU de 10 núcleos
Trazado de rayos por aceleración de hardware
Neural Engine de 16 núcleos
100 GB/s de ancho de banda de memoria


Motor multimedia:

Aceleración de hardware para H.264, HEVC, ProRes y ProRes RAW
Motor de decodificación de vídeo
Motor de codificación de vídeo
Motor de codificación y decodificación ProRes
Motor de decodificación AV1","Chip M3 de Apple:

CPU de 8 núcleos (4 de rendimiento y 4 de eficiencia)
GPU de 10 núcleos
Trazado de rayos por aceleración de hardware
Neural Engine de 16 núcleos
100 GB/s de ancho de banda de memoria",CPU de 8 núcleos (4 de rendimiento y 4 de eficiencia),GPU de 10 núcleos,Trazado de rayos por aceleración de hardware,Neural Engine de 16 núcleos,100 GB/s de ancho de banda de memoria
PcCom Imperial AMD Ryzen 7 7800X3D / 32GB / 2TB SSD / RTX 4070 Ti SUPER - Negro,Caja: Forgeon Arcanite ARGB Mesh Torre ATX Negra,Fuente de alimentación: Forgeon Bolt PSU 750W 80+ Gold Full Modular Fuente de Alimentación,Procesador: AMD Ryzen 7 7800X3D 4.2 GHz/5 GHz,Placa base: MSI PRO B650-S WIFI,Disco duro: WD BLACK SN770 2TB NVMe SSD,Memoria RAM: Acer Predator Vesta II RGB DDR5 6000MHz 32GB 2x16GB CL30,"Tarjeta gráfica: MSI Ventus GeForce RTX 4070 Ti SUPER 3X OC 16 GB GDDR6X DLSS3

1xHDMI / 3xDisplayPorts",1xHDMI / 3xDisplayPorts,Tarjeta de sonido: Integrada,Tarjeta de red: Integrada,Refrigeración CPU: Forgeon Azoth 240 ARGB Kit de Refrigeración Líquida 240mm Negro,"Conexiones delanteras: 

2x USB 3.0
1x USB-C
Auricular/Microfono x1
Encendido/Apagado
LED
Reinicio",2x USB 3.0,1x USB-C,Auricular/Microfono x1,Encendido/Apagado
PcCom Ready AMD Ryzen 7 5800X / 32GB / 1TB SSD / RTX 4060 Ti + Windows 11 Home,Caja: Nfortec Krater X Cristal Templado USB 3.0 ARGB Negra,Fuente de alimentación: Corsair CV Series CV650 650W 80 Plus Bronze V2,Procesador: AMD Ryzen 7 5800X 3.8GHz,Placa base: ASUS PRIME B550M-A/CSM,Disco duro: WD Blue SN570 SSD 1TB M.2 NVMe,Memoria RAM: Kingston FURY Beast DDR4 3200 MHz 32GB 2x16GB CL18,Tarjeta gráfica: ASUS Dual GeForce RTX 4060 Ti OC Edition 8GB GDDR6 DLSS3 1xHDMI / 3xDisplayPorts,Tarjeta de sonido: Integrada,Refrigeración CPU: Cooler Master MasterLiquid ML240L V2 RGB Kit de Refrigeración Líquida,"Conexiones delanteras: 

USB 3.0 x2
Auricular/Micrófono x1
Encendido/Apagado
Reinicio
LED
Nota importante: La torre cuenta con un conector frontal USB-C que no estará habilitado para su funcionamiento.",USB 3.0 x2,Auricular/Micrófono x1,Encendido/Apagado,Reinicio,LED,Nota importante: La torre cuenta con un conector frontal USB-C que no estará habilitado para su funcionamiento.
PcCom Ready Intel Core i5-12400F / 32 GB / 1TB SSD / RTX 4060,Caja: Tempest Mirage RGB Mesh Torre ATX Negra,Fuente de alimentación: Forgeon SI Series PSU 650W 80+ Bronze,Procesador: Intel Core i5-12400F 2.5 GHz,Placa base: Gigabyte B760M DS3H DDR4,Disco duro: WD Blue SN580 1TB SSD M.2 PCIe 4.0 NVMe,Memoria RAM: Kingston FURY Beast DDR4 3200 MHz 32GB 2x16GB CL16,"Tarjeta gráfica: GeForce RTX 4060 WINDFORCE 8GB GDDR6 DLSS3

2xHDMI / 2xDisplayPorts",2xHDMI / 2xDisplayPorts,Tarjeta de sonido: Integrada,Refrigeración CPU: Tempest Cooler 4Pipes 120mm RGB Ventilador CPU Negro,Tarjeta de Red: ASUS PCE-AX1800 Adaptador PCIe AX1800 WiFi 6 + Bluetooth 5.2,"Conexiones delanteras: 

Entrada de audio: Si
Salida de audio: Si
Cantidad de puertos USB 2.0: 2
Cantidad de puertos tipo A USB 3.2 Gen 1 (3.1 Gen 1): 2",Entrada de audio: Si,Salida de audio: Si,Cantidad de puertos USB 2.0: 2,Cantidad de puertos tipo A USB 3.2 Gen 1 (3.1 Gen 1): 2
"Apple Macbook Pro Apple M3 Max 16 Núcleos/48GB/1TB SSD/GPU 40 Núcleos/16"" Negro Espacial","Gráficos que juegan en otra liga. Abre bien los ojos: estás ante una arquitectura de GPU nueva de arriba abajo y los gráficos más avanzados de todos los chips de Apple. El almacenamiento en caché dinámico optimiza la memoria del chip para aumentar descaradamente el uso promedio de la GPU. ¿El resultado? Un subidón del rendimiento para las apps y juegos más exigentes. Además, los juegos tienen ahora un nivel de detalle nunca visto gracias al sombreado de malla por aceleración de hardware. Esta tecnología ofrece más capacidad y eficiencia en el procesamiento de geometría. Así se pueden renderizar escenas visualmente muy complejas y lograr unas imágenes que quitan el hipo.","Trazado de rayos por aceleración de hardware. Por primera vez, el MacBook Pro utiliza el trazado de rayos por aceleración de hardware. Sumado a la nueva arquitectura gráfica, las aplicaciones profesionales ahora incrementan hasta por 2,5 la velocidad de renderizado y los juegos muestran sombras y reflejos aún más realistas. Si buscas «prodigio» en el diccionario, sale esto.","Abierto hasta el amanecer. El MacBook Pro tiene la mayor autonomía en un Mac, hasta 22 horas, que se dice pronto. Todos los modelos corren que se las pelan estén o no enchufados. Además, a los chips de Apple les sobra eficiencia para dar lo máximo cuando la inspiración o el deber te llamen.","Apps a todo gas. Con miles de aplicaciones optimizadas para aprovechar el potencial de macOS y los chips de Apple, la gama M3 impulsa el rendimiento que ni te lo imaginas. Ahora las apps ponen el turbo: las que usas en tu día a día, las del trabajo y tus juegos favoritos.","La mejor pantalla jamás vista en un portátil. El rango dinámico extremo (XDR) muestra efectos de luz espectaculares, gran detalle en las sombras y colores reales como la vida misma. Cada pantalla Liquid Retina XDR viene calibrada de fábrica y lleva tecnología ProMotion y perfiles de referencia profesionales. Como mires una de cerca, flechazo.","Tiene buen ojo. Y oído.

Cámara a 1080p. Las videollamadas le hacen más justicia a la realidad con tecnologías que muestran tu mejor versión. Tú di «¡Hola, hola!» cual genio de las ondas y saldrás radiante incluso a media luz.
Conjunto de tres micrófonos con calidad de estudio. Captan hasta el último matiz en la producción de audio y reducen el ruido de fondo para que se te oiga alto y claro.
Sistema de audio de seis altavoces. Los dos pares de woofers con cancelación de fuerza y los dos altavoces de agudos son un regalo para los oídos. Y el audio espacial con Dolby Atmos ofrece un sonido tridimensional superior.","Cámara a 1080p. Las videollamadas le hacen más justicia a la realidad con tecnologías que muestran tu mejor versión. Tú di «¡Hola, hola!» cual genio de las ondas y saldrás radiante incluso a media luz.",Conjunto de tres micrófonos con calidad de estudio. Captan hasta el último matiz en la producción de audio y reducen el ruido de fondo para que se te oiga alto y claro.,Sistema de audio de seis altavoces. Los dos pares de woofers con cancelación de fuerza y los dos altavoces de agudos son un regalo para los oídos. Y el audio espacial con Dolby Atmos ofrece un sonido tridimensional superior.,"Todo está conectado. El MacBook Pro incluye una gran variedad de puertos para usar periféricos de gran rendimiento, monitores de alta resolución y tarjetas SDXC. Además, es compatible con las redes Wi?Fi 6E y Bluetooth 5.3. Vamos, que sabe conectar con propios y extraños.","Seguridad que deja huella. El Magic Keyboard viene con teclas de función de altura estándar y Touch ID para que desbloquees el Mac e inicies sesión en apps y páginas web de la forma más fácil, rápida y segura. Diseñado para ser seguro. La información de tu huella dactilar se convierte en un valor matemático cifrado para no tener que recordar c0ntr4s3ñas r4ras.","Cámara a 1080p. Las videollamadas le hacen más justicia a la realidad con tecnologías que muestran tu mejor versión. Tú di «¡Hola, hola!» cual genio de las ondas y saldrás radiante incluso a media luz.",Conjunto de tres micrófonos con calidad de estudio. Captan hasta el último matiz en la producción de audio y reducen el ruido de fondo para que se te oiga alto y claro.,Sistema de audio de seis altavoces. Los dos pares de woofers con cancelación de fuerza y los dos altavoces de agudos son un regalo para los oídos. Y el audio espacial con Dolby Atmos ofrece un sonido tridimensional superior.,"Pantalla

Liquid Retina XDR
Pantalla Liquid Retina XDR de 16,2 pulgadas (41,05 cm) en diagonal;1 resolución nativa de 3.456 por 2.234 a 254 píxeles por pulgada
XDR (rango dinámico extremo)
Contraste de 1.000.000:1
Brillo XDR: 1.000 nits de brillo sostenido (a pantalla completa) y 1.600 nits de pico de brillo2 (solo HDR)
Brillo SDR: 600 nits
Color
1.000 millones de colores
Gama cromática amplia (P3)
Tecnología True Tone
Frecuencias de actualización
Tecnología ProMotion con frecuencia de actualización adaptativa de hasta 120 Hz
Frecuencias de actualización fijas: 47,95 Hz, 48 Hz, 50 Hz, 59,94 Hz y 60 Hz",Liquid Retina XDR
PcCom Work Intel Core i7-12700 / 32GB / 2TB SSD + Windows 11 Pro,Caja: Torre PC Nox Hummer ONYX Mini Torre MATX USB 3.0 Negra,Fuente de alimentación: 450W 80 Plus,Procesador: Intel Core i7-12700 2.1 GHz,Placa base: Gigabyte H610M S2H V3 DDR4,Disco duro: Kioxia EXCERIA PLUS G3 2TB SSD M.2 2280 PCIe Gen4 x4,Memoria RAM: 3200 MHz 32GB 2x16GB CL16,Tarjeta gráfica: Gráficos HD Intel® 630,Tarjeta de sonido: Integrada,Tarjeta de Red: TP-LINK TL-WN881ND 300Mbs 11n Wireless PCI Express Ver 2.0,"Conexiones delanteras: 

2x USB 2.0 | 1x USB 3.0 | HD Audio | Mic",2x USB 2.0 | 1x USB 3.0 | HD Audio | Mic,"Conexiones traseras

Cantidad de puertos USB 2.0: 4
Cantidad de puertos tipo A USB 3.2 Gen 1 (3.1 Gen 1): 2
Ethernet LAN (RJ-45) cantidad de puertos: 1
Puerto de ratón PS/2: 2
Cantidad de puertos VGA (D-Sub): 1
Número de puertos HDMI: 1
Cantidad de DisplayPorts: 2
Salidas para auriculares: 3
Micrófono, jack de entrada: Si
Conector USB: USB tipo A",Cantidad de puertos USB 2.0: 4,Cantidad de puertos tipo A USB 3.2 Gen 1 (3.1 Gen 1): 2,Ethernet LAN (RJ-45) cantidad de puertos: 1,Puerto de ratón PS/2: 2
PcCom Work Intel Core i5-12400 / 16GB / 500GB SSD,Caja: Alurin Work Torre ATX Negra,Fuente de alimentación: 500W,Procesador: Intel Core i5-12400 2.5 GHz,Placa base: Gigabyte H610M S2H V3 DDR4,Disco duro: 500GB NVMe PCIe 3.0,Memoria RAM: 3200 MHz 16GB 2x8GB CL16,Tarjeta gráfica: Gráficos HD Intel® 630,Tarjeta de sonido: Integrada,Tarjeta de Red: TP-LINK TL-WN881ND 300Mbs 11n Wireless PCI Express Ver 2.0,"Conexiones delanteras: 

USB 3.0 x1
USB 2.0 x2
Auricular/Micrófono x1
Encendido/Apagado",USB 3.0 x1,USB 2.0 x2,Auricular/Micrófono x1,Encendido/Apagado,"Conexiones traseras

Cantidad de puertos USB 2.0: 4
Cantidad de puertos tipo A USB 3.2 Gen 1 (3.1 Gen 1): 2
Ethernet LAN (RJ-45) cantidad de puertos: 1
Puerto de ratón PS/2: 2
Cantidad de puertos VGA (D-Sub): 1
Número de puertos HDMI: 1
Cantidad de DisplayPorts: 2
Salidas para auriculares: 3
Micrófono, jack de entrada: Si
Conector USB: USB tipo A",Cantidad de puertos USB 2.0: 4
"Apple MacBook Air Apple M3/8GB/512GB SSD/GPU 10 Núcleos/13.6"" Gris Espacial",Potencia M3. Afilada al máximo. El MacBook Air con chip M3 tiene un diseño compacto para trabajar y divertirte a toda mecha en todas partes.,"Diseño compacto. Como es superligero y mide poco más de un centímetro de grosor, puedes llevarte el MacBook Air a cualquier sitio.",Haz más. Más rápido. La potencia de la CPU de 8 núcleos y de la GPU de hasta 10 núcleos del chip M3 de Apple hace que todo vaya como la seda.,"Hasta 18 horas de autonomía1. Con autonomía para el día entero, puedes dejar el adaptador en casa con total tranquilidad.","Una pantalla brillante. La pantalla Liquid Retina de 13,6 pulgadas2 admite 1.000 millones de colores.","Entra por los ojos. Y los oídos. La cámara HD a 1080p, los tres micrófonos y los cuatro altavoces con audio espacial ofrecen una calidad de imagen y sonido alucinante.","Apps que vuelan con el chip de Apple. Todas tus apps favoritas van como un rayo en macOS, desde Microsoft 365 hasta Adobe Creative Cloud.3","Conectividad total. El MacBook Air tiene dos puertos Thunderbolt, toma para auriculares, Wi-Fi 6E,4 Bluetooth 5.3 y puerto de carga MagSafe. Y puedes conectar hasta dos monitores externos con la tapa del portátil cerrada.","Si te gusta el iPhone, te encantará el Mac. El MacBook Air se entiende de maravilla con todos tus dispositivos Apple.5 Ponte a escribir un email en el iPhone y acábalo en el Mac. Envía mensajes de texto desde el Mac. Y mucho más.Avisos legales:1. La duración de la batería varía en función de la configuración y el uso. Más información en apple.com/es/batteries.2. La pantalla del MacBook Air de 13 pulgadas tiene las esquinas redondeadas en la parte superior. Si se mide como un rectángulo estándar en diagonal, la pantalla tiene 13,6 pulgadas. La superficie real de visión es inferior.3. Las apps están disponibles en el App Store.4. La conexión Wi-Fi 6E está disponible en los países y zonas geográficas donde existe esta tecnología.5. Requiere una cuenta de iCloud y conexión a internet","Chip

Chip M3 de Apple:

CPU de 8 núcleos (4 de rendimiento y 4 de eficiencia)
GPU de 10 núcleos
Trazado de rayos por aceleración de hardware
Neural Engine de 16 núcleos
100 GB/s de ancho de banda de memoria


Motor multimedia:

Aceleración de hardware para H.264, HEVC, ProRes y ProRes RAW
Motor de decodificación de vídeo
Motor de codificación de vídeo
Motor de codificación y decodificación ProRes
Motor de decodificación AV1","Chip M3 de Apple:

CPU de 8 núcleos (4 de rendimiento y 4 de eficiencia)
GPU de 10 núcleos
Trazado de rayos por aceleración de hardware
Neural Engine de 16 núcleos
100 GB/s de ancho de banda de memoria",CPU de 8 núcleos (4 de rendimiento y 4 de eficiencia),GPU de 10 núcleos,Trazado de rayos por aceleración de hardware,Neural Engine de 16 núcleos,100 GB/s de ancho de banda de memoria
